Genus	MB01F1	MB01F2	MB01F3	MB01F4	MB02F1	MB02F2	MB02F3	MB02F4	MB03F1	MB03F2	MB03F3	MB03F4	MB03F5	MB04F1	MB04F2	MB04F3	MB04F4	MB04F5	MB04F6	MB05F1	MB05F2	MB05F3	MB05F5	MB05F6	MB05F7	MB06F1	MB06F2	MB06F4	MB06F5	MB06F6	MB07F1	MB07F2	MB07F3	MB07F4	MB07F5	MB07F6	MB08F1	MB08F2	MB08F3	MB08F4	MB08F5	MB08F6	MB08F7	MB08F8	MB09F2	MB09F3	MB09F5	MB09F6	MB10F1	MB10F2	MB10F3	MB10F4	MB10F5	MB10F6	MB10F7	MB11F1	MB11F2	MB11F5	MB12F3	MB12F4	MB12F5	MB13F2	MB13F4	MB13F5	MB13F6	MB13F7	MB14F3	MB14F4	MB14F5	MB14F6	MB15F1	MB15F2	MB15F6	MB15F7	MB16F1	MB16F2	MB16F3	MB19F2	MB19F3	MB19F5	MB20F1	MB20F2	MB20F3	MB20F4	MB20F5	MB20F6
Butyricimonas	0	0	0	3.889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Calorimonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.4386	4.9674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Amulumruptor	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1364.7046	813.6733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6583	12.4183	24.6862	14.1059	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Candidatus Borkfalkia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8384	5.3773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.3449
Ceduovirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.3951	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Cepunavirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.6676	11.4727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10.9523
Chitinophaga	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.5599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.0002	0	0	0	0	0	0	0	0	0	0	0	0	0
Chlamydia	0	0	0	0	10.2588	3.22	0	0	0	0	0	0	0	0	0	0	0	2.7523	0	27.5805	19.2331	40.2209	46.037	3.7354	0	0	0	0	0	0	20.9578	46.7746	40.5778	42.8112	79.5701	33.3428	18.7292	21.6589	0	0	0	0	0	0	0	0	75.4753	368.4126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.498	10.3387	50.8321	33.7569	0	0	0	0	0	8.7383	0	0	0	0	0	0	0	0	0	0	0	0	0
Cloacibacillus	0	0	0	0	9.2192	0	6.3579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Clostridium	11.2522	4.7289	11.7646	20.6611	6.6578	12.7222	21.5845	4.37	0	0	0	0	0	0	6.5913	25.0039	25.6525	23.2005	16.8036	112.7272	107.1663	102.4607	109.475	88.7044	41.8265	23.6651	16.2901	34.0919	19.1256	20.6422	0	0	0	0	14.594	6.9237	61.6888	87.1109	41.5457	140.114	51.6935	71.7018	13.8264	27.6624	72.2083	50.4334	128.9777	104.5826	67.0795	80.8591	12.3089	2.3239	12.5597	14.3968	14.3731	60.7722	111.8697	0	0	0	72.1123	0	74.8077	0	0	3.7114	0	0	0	0	0	0	108.0671	0	0	0	0	0	0	0	0	0	0	4.2228	0	175.0498
Collinsella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.8499	2.3457	0	1.8216	3.3156	0	0	0	0	0	0	0	0	4.1208	9.3801	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.1382
Coprobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.4107	28.5075	17.2395	2.9595	12.3864	3.5097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Coprococcus	0	0	0	0	2.0647	6.8635	13.8372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4398	2.4226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19.8978	0	0	6.2972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Corallococcus	0	0	4.6768	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfotomaculum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.5158	2.5363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Desulfovibrio	0	0	6.5288	8.9888	0	42.8432	39.7443	0	0	0	0	0	0	0	0	0	0	0	0	8.2651	5.9112	4.6859	5.7266	0	3.1835	0	0	0	0	0	0	11.1051	11.5945	0	4.0976	8.8595	0	0	0	0	0	0	0	0	0	0	30.837	26.7772	0	0	0	0	0	0	0	0	0	0	0	2.6776	37.279	0	54.8123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dialister	2.854	4.9866	7.7443	6.3521	0	0	0	0	15.5621	7.7822	2.5619	55.1884	54.1976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16.6016	6.696	26.2861	25.1901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dorea	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.6037	6.562	0	5.1197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.8957	2.3818	5.351	0	0	0	0	0	0
Duodenibacillus	0	0	2.673	7.9224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dysgonomonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.9759	8.3976	19.4144	10.16	5.7502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dysosmobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.1689	2.5173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.9163	0	6.0548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eggerthella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.7687	9.4461	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eisenbergiella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23.6756	22.558	19.052	11.6731	5.334	10.6923	5.1143	0	4.9825	0	0	0	0	0	0	0	2.647	0	7.4864	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9377	0	38.591
Emergencia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.4391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.7023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eubacterium	41.351	29.8072	61.8851	90.4404	64.9702	41.3111	56.8536	16.0362	0	0	0	0	0	0	0	6.4588	7.346	42.1534	7.6745	14.0271	6.5381	9.878	25.8486	8.8103	11.5941	6.1049	20.8361	43.6066	27.5359	3.5478	4.9795	24.0187	18.7768	10.0956	10.2379	4.3049	123.0526	234.6798	70.9125	128.8452	183.2785	120.1063	36.2893	74.2742	45.5055	50.3356	77.4322	124.3336	9.578	3.302	0	0	2.0164	0	0	17.3919	31.1435	0	0	13.1785	78.3059	0	155.2225	11.2966	0	96.0857	16.6259	0	5.0467	0	0	0	77.0299	0	0	0	0	0	0	2.2876	1.9447	0	0	0	0	25.9437
Faecalibacterium	54.1085	117.484	181.5743	236.435	16.9972	367.8842	171.6597	18.273	125.6745	58.764	105.0814	546.5395	167.5347	80.409	86.4682	191.1286	68.4231	205.5447	88.8154	251.7956	256.0846	246.565	226.4957	132.4814	310.7222	9.0187	24.3704	98.6024	90.4804	54.4562	91.5583	275.3916	250.2607	169.1394	393.9957	383.1584	261.206	330.2969	218.0916	313.1364	214.5733	292.6062	88.0628	211.7715	1004.0831	1730.2725	1028.6886	596.808	264.5499	363.7699	115.5919	12.3021	96.3207	502.7298	221.9462	910.2027	476.1997	0	8.194	114.3399	323.7914	14.4912	1148.534	0	0	287.3529	25.9284	33.2409	49.7134	17.8077	64.6469	16.5972	735.963	2.0767	2.46	6.614	33.072	1.6536	0	19.3092	10.4141	0	0	62.3051	3.7574	1047.1678
