Genus	MB22f4	MB22f5	MB22f7	MB22f8	MB23f1	MB23f5	MB23f7	MB24f1	MB24f2	MB24f3	MB24f4	MB25f3	MB25f5	MB26f1	MB26f2	MB26f3	MB26f4	MB26f5	MB26f6	MB26f7	MB26f8	MB26f9	MB27f1	MB27f2	MB27f3	MB27f5	MB29f2	MB29f3	MB29f4	MB29f5	MB29f6	MB29f8	MB30f1	MB30f2	MB30f3	MB30f4	MB30f5	MB30f6	MB31f1	MB31f2	MB31f3	MB31f4	MB31f5	MB32f1	MB32f2	MB32f3	MB32f4	MB32f6	MB33f1	MB33f2	MB33f3	MB33f4	MB33f5	MB33f6	MB33f7	MB33f8	MB34f1	MB34f2	MB34f3	MB34f5	MB34f6	MB34f7	MB35f1	MB35f2	MB35f3	MB35f5	MB35f6	MB36f1	MB36f2	MB37f2	MB37f3	MB37f4	MB37f6	MB37f7	MB38f1	MB38f2	MB38f3	MB38f4	MB38f5
Lachnoclostridium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.06227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lachnospira	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.426953	15.721218	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lawsonibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.709534	0	0	0	0	0	0	1.665873	0	0	0	0	0	0	0	0	0	0	16.472468	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Mediterraneibacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.516430	3.569753	5.079926	0	8.710911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.422436	0	0	0	0	0	0	0	0	0	28.657962	0	0	0	0	0	0	0	0	0	0
Megamonas	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.421932	0	1.688025	0	0	0	0	0	0	0
Monoglobus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.450684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.463616	4.256085	9.771045	0	2.805654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.089067	6.745788	1.965598	0	2.362614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oscillibacter	0	0	6.641463	0	3.554950	6.404645	13.076165	0	0	12.050635	9.637028	0	6.188249	7.181873	3.577223	32.316158	0	25.577309	2.660721	8.063161	68.351158	12.034387	0	0	0	0	0	1.907648	2.764671	0	0	0	2.938768	9.485277	17.397823	0	0	14.908179	390.736504	260.217223	228.656996	13.580223	36.675731	25.325745	12.849711	0	23.231814	5.618845	5.714199	5.939067	8.949920	0	15.952627	0	11.297662	30.964178	0	0	34.016066	0	0	0	0	4.841200	0	0	0	9.836160	36.531809	13.229390	5.466675	22.440509	0	9.769647	0	0	0	0	0
Parabacteroides	0	0	14.118842	3.895722	0	0	0	0	0	2.975570	3.020487	13.976694	7.655746	0	0	0	0	0	0	0	0	0	0	0	1.725136	0	0	10.332799	18.359656	1.996703	0	1.827794	15.550901	8.386637	5.687314	1.874834	3.608358	25.556666	232.989440	153.794440	168.030916	22.152748	60.446125	0	0	0	0	0	6.189577	10.330814	9.213811	0	0	0	6.488469	7.064365	0	0	0	0	0	0	1.435655	25.183675	0	0	0	2.522591	4.871851	0	0	0	0	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.564937	1.677060	3.895957	0	23.065650	0	0	0	0	0
